name,latitud,longitud,category
The Plant,37.80047667669209,-122.43774459333486,Vegetarian / Vegan Restaurant
The Plant Cafe Organic,37.79188755556935,-122.40249870982906,Vegetarian / Vegan Restaurant
Urban Remedy,37.797553811980684,-122.43149687600089,Vegetarian / Vegan Restaurant
Mr.East Kitchen,37.780451517462836,-122.40378102356958,Vegetarian / Vegan Restaurant
Indochine,37.76468916550355,-122.42196627450242,Vegetarian / Vegan Restaurant
Sunrise Deli,37.78861080016589,-122.40053225084378,Vegetarian / Vegan Restaurant
Greens To Go,37.806651608313544,-122.43216279531417,Vegetarian / Vegan Restaurant
WeTheTrillions.,37.790158,-122.40243899999999,Vegetarian / Vegan Restaurant
Jay's Cheesesteak,37.75696547549894,-122.42076974456218,Vegetarian / Vegan Restaurant
Vida Cantina,37.791411,-122.403766,Vegetarian / Vegan Restaurant
Core Kitchen (@ the Hall),37.78181,-122.411212,Vegetarian / Vegan Restaurant
54 Mint,37.782519074590496,-122.40803182125092,Italian Restaurant
Vegan Picnic Polk St,37.788959,-122.420448,Vegetarian / Vegan Restaurant
Beretta,37.7538556,-122.4206327,Italian Restaurant
Woodblock,37.778018,-122.421525,Vegetarian / Vegan Restaurant
Sun Rise Restaurant,37.75249297338891,-122.41465076247607,Latin American Restaurant
Lettus Cafe Organic,37.80044937133789,-122.43756103515625,Vegetarian / Vegan Restaurant
"Stirred, Not Shaken",37.76196203130481,-122.41797208786012,Vegetarian / Vegan Restaurant
Above Ground,37.762224,-122.419563,Vegetarian / Vegan Restaurant
Herb’n Vegan,37.777337,-122.444151,Vegetarian / Vegan Restaurant
Sunny Vibrations Vegan Food Truck,37.758162084031426,-122.42682337760925,Vegetarian / Vegan Restaurant
The Stinking Rose,37.79829369624773,-122.40743841573936,Italian Restaurant
